DBN,SCHOOL NAME.x,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,avg_sat_score,SchoolName,AP Test Takers,Total Exams Taken,Number of Exams with scores 3 4 or 5,exams_per_student,high_score_percent,SCHOOL NAME.y,avg_class_size,Name,frl_percent,total_enrollment,ell_percent,sped_percent,selfcontained_num,asian_per,black_per,hispanic_per,white_per,male_per,female_per,School Name,Total Cohort,grads_percent,dropout_percent,school_name,boro,Location 1,coordinates,lat,long
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29,355,404,363,1122,NA,NA,NA,NA,NA,NA,Henry Street School for International Studies,23,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,88.6,422,22.3,24.9,35,14,29.1,53.8,1.7,61.4,38.6,HENRY STREET SCHOOL FOR INTERNATIONAL,78,55.1,14.1,Henry Street School for International Studies,Manhattan,"220 Henry Street
New York, NY 10002
(40.71376394700047, -73.98526003999967)","(40.71376394700047, -73.98526003999967)",40.7137639470004,-73.98526003999967
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91,383,423,366,1172,UNIVERSITY NEIGHBORHOOD H.S.,39,49,10,1.2564102564102564,20.408163265306122,University Neighborhood High School,22,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,71.8,394,21.1,21.8,10,29.2,22.6,45.9,2.3,57.4,42.6,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,124,42.7,16.1,University Neighborhood High School,Manhattan,"200 Monroe Street
New York, NY 10002
(40.7123318510005, -73.98479662499966)","(40.7123318510005, -73.98479662499966)",40.712331851,-73.98479662499966
01M450,EAST SIDE COMMUNITY SCHOOL,70,377,402,370,1149,EAST SIDE COMMUNITY HS,19,21,NA,1.105263157894737,NA,East Side Community School,21,EAST SIDE COMMUNITY HIGH SCHOOL,71.8,598,5,26.4,19,9.7,23.9,55.4,10.4,54.7,45.3,EAST SIDE COMMUNITY SCHOOL,90,77.8,5.6,East Side Community School,Manhattan,"420 East 12 Street
New York, NY 10009
(40.729782687000466, -73.98304144099967)","(40.729782687000466, -73.98304144099967)",40.72978268700046,-73.98304144099967
01M458,FORSYTH SATELLITE ACADEMY,7,414,401,359,1174,NA,NA,NA,NA,NA,NA,Forsyth Satellite Academy,23,SATELLITE ACADEMY HS @ FORSYTHE STREET,72.8,224,4,8.9,0,2.2,34.4,59.4,3.6,43.3,56.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01M509,MARTA VALLE HIGH SCHOOL,44,390,433,384,1207,NA,NA,NA,NA,NA,NA,Marta Valle High School,24,MARTA VALLE SECONDARY SCHOOL,80.7,367,11.2,25.9,36,9.3,31.6,56.9,1.6,46.3,53.7,MARTA VALLE HIGH SCHOOL,84,56,6,Marta Valle High School,Manhattan,"145 Stanton Street
New York, NY 10002
(40.720569079000484, -73.98567269099965)","(40.720569079000484, -73.98567269099965)",40.72056907900048,-73.98567269099965
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,112,332,557,316,1205,LOWER EASTSIDE PREP,24,26,24,1.0833333333333333,92.3076923076923,Lower East Side Preparatory High School,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LOWER EAST SIDE PREPARATORY HIGH SCHO,193,54.4,18.1,NA,NA,NA,NA,NA,NA
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522,574,525,1621,"NEW EXPLORATIONS SCI,TECH,MATH",255,377,191,1.4784313725490197,50.663129973474796,"New Explorations into Science, Technology and Math High School",26,NEW EXPLORATIONS INTO SCIENCE TECH AND MATH,23,1613,0.2,2.7,0,27.8,11.7,14.2,44.9,49.2,50.8,NEW EXPLORATIONS INTO SCIENCE  TECHNO,46,100,0,"New Explorations into Science, Technology and Math High School",Manhattan,"111 Columbia Street
New York, NY 10002
(40.718725451000466, -73.97942638599966)","(40.718725451000466, -73.97942638599966)",40.71872545100046,-73.97942638599966
01M650,CASCADES HIGH SCHOOL,18,417,418,411,1246,NA,NA,NA,NA,NA,NA,Cascades High School,22,CASCADES HIGH SCHOOL,69.8,218,3.2,6.9,0,0.5,45.4,49.5,4.1,39.9,60.1,CASCADES HIGH SCHOOL,89,55.1,6.7,NA,NA,NA,NA,NA,NA
01M696,BARD HIGH SCHOOL EARLY COLLEGE,130,624,604,628,1856,NA,NA,NA,NA,NA,NA,Bard High School Early College,21,BARD HIGH SCHOOL EARLY COLLEGE,18,617,0.2,0.8,0,15.1,15.1,18.2,49.8,31.3,68.7,BARD HIGH SCHOOL EARLY COLLEGE,139,96.4,0.7,Bard High School Early College,Manhattan,"525 East Houston Street
New York, NY 10002
(40.718961617000446, -73.97606602099967)","(40.718961617000446, -73.97606602099967)",40.71896161700044,-73.97606602099967
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,16,395,400,387,1182,NA,NA,NA,NA,NA,NA,47 The American Sign Language and English Secondary School,16,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL L,66.9,174,8,32.2,10,1.7,32.2,59.2,6.3,42.5,57.5,47 THE AMERICAN SIGN LANGUAGE AND ENG,25,76,4,47 The American Sign Language and English Secondary School,Manhattan,"223 East 23 Street
New York, NY 10010
(40.738599087000466, -73.98251191099968)","(40.738599087000466, -73.98251191099968)",40.73859908700046,-73.98251191099968
